date,close,open,high,low,volume_m,price_range,month,quarter
2021-08-11,51.2400016784668,51.70000076293945,51.957000732421875,50.97700119018555,16.74,0.98,8,3
2021-08-12,51.071998596191406,51.18600082397461,51.29999923706055,50.720001220703125,16.86,0.58,8,3
2021-08-13,51.59199905395508,51.263999938964844,52.14400100708008,51.1510009765625,21.78,0.99,8,3
2021-08-16,51.79199981689453,51.52399826049805,52.3380012512207,51.22999954223633,20.33,1.11,8,3
2021-08-17,51.89099884033203,51.547000885009766,52.07899856567383,51.41999816894531,23.1,0.66,8,3
2021-08-18,52.1870002746582,52.0,52.63800048828125,51.8650016784668,25.82,0.77,8,3
2021-08-19,54.37099838256836,52.27399826049805,54.8390007019043,52.1870002746582,74.97,2.65,8,3
2021-08-20,54.6879997253418,54.50899887084961,55.138999938964844,53.90999984741211,37.76,1.23,8,3
2021-08-23,55.33300018310547,54.597999572753906,55.55500030517578,54.374000549316406,26.02,1.18,8,3
2021-08-24,55.340999603271484,55.14799880981445,55.53099822998047,54.926998138427734,21.1,0.6,8,3
2021-08-25,54.757999420166016,55.01599884033203,55.284000396728516,54.54499816894531,20.66,0.74,8,3
2021-08-26,55.012001037597656,54.61600112915039,55.2599983215332,54.59000015258789,15.96,0.67,8,3
2021-08-27,55.891998291015625,55.15999984741211,56.41699981689453,54.92499923706055,32.53,1.49,8,3
2021-08-30,56.61800003051758,55.724998474121094,56.715999603271484,55.64500045776367,24.35,1.07,8,3
2021-08-31,56.91899871826172,56.61199951171875,56.948001861572266,56.1609992980957,24.32,0.79,8,3
2021-09-01,58.207000732421875,56.900001525878906,59.099998474121094,56.900001525878906,56.26,2.2,9,3
2021-09-02,58.85499954223633,58.36800003051758,59.875999450683594,58.36800003051758,61.8,1.51,9,3
2021-09-03,59.053001403808594,58.58000183105469,59.1879997253418,58.31399917602539,26.81,0.87,9,3
2021-09-07,60.67100143432617,59.46900177001953,61.3849983215332,59.39899826049805,58.21,1.99,9,3
2021-09-08,60.60499954223633,60.38399887084961,61.560001373291016,59.57099914550781,54.24,1.99,9,3
2021-09-09,59.75400161743164,60.64699935913086,60.944000244140625,59.654998779296875,29.54,1.29,9,3
2021-09-10,59.87200164794922,59.816001892089844,60.94499969482422,59.367000579833984,39.51,1.58,9,3
2021-09-13,58.92900085449219,59.856998443603516,59.856998443603516,58.27799987792969,30.63,1.58,9,3
2021-09-14,57.7760009765625,58.48899841308594,58.72800064086914,57.555999755859375,34.57,1.17,9,3
2021-09-15,58.2869987487793,57.81700134277344,58.46200180053711,57.5369987487793,27.56,0.93,9,3
2021-09-16,58.650001525878906,58.43000030517578,58.74800109863281,57.77199935913086,18.32,0.98,9,3
2021-09-17,58.935001373291016,58.78499984741211,59.02799987792969,58.084999084472656,41.45,0.94,9,3
2021-09-20,57.542999267578125,58.67900085449219,59.15299987792969,56.80799865722656,37.32,2.35,9,3
2021-09-21,57.31399917602539,57.83100128173828,58.1879997253418,56.9370002746582,22.51,1.25,9,3
2021-09-22,59.064998626708984,57.96900177001953,59.564998626708984,57.96900177001953,40.22,1.6,9,3
2021-09-23,59.32600021362305,59.07899856567383,59.93199920654297,58.91299819946289,25.26,1.02,9,3
2021-09-24,59.23899841308594,59.25,59.29800033569336,58.36399841308594,21.26,0.93,9,3
2021-09-27,59.263999938964844,58.79499816894531,59.358001708984375,57.69300079345703,25.05,1.67,9,3
2021-09-28,58.3849983215332,58.900001525878906,59.95399856567383,58.01599884033203,44.31,1.94,9,3
2021-09-29,59.90599822998047,58.9010009765625,60.987998962402344,58.80099868774414,62.21,2.19,9,3
2021-09-30,61.034000396728516,60.80500030517578,61.900001525878906,60.80500030517578,66.13,1.1,9,3
2021-10-01,61.314998626708984,60.42399978637695,61.499000549316406,59.750999450683594,40.91,1.75,10,4
2021-10-04,60.334999084472656,61.3390007019043,62.612998962402344,59.46799850463867,49.96,3.15,10,4
2021-10-05,63.48099899291992,60.694000244140625,64.03900146484375,60.68899917602539,95.34,3.35,10,4
2021-10-06,63.90999984741211,62.81800079345703,63.98699951171875,62.63600158691406,45.8,1.35,10,4
2021-10-07,63.185001373291016,64.2229995727539,64.68399810791016,63.04499816894531,35.57,1.64,10,4
2021-10-08,63.26599884033203,63.41699981689453,64.37999725341797,63.08599853515625,32.72,1.29,10,4
2021-10-11,62.70399856567383,63.31999969482422,63.94200134277344,62.678001403808594,28.62,1.26,10,4
2021-10-12,62.49399948120117,63.301998138427734,63.76599884033203,62.19900131225586,32.27,1.57,10,4
2021-10-13,62.97600173950195,63.21799850463867,63.21799850463867,62.209999084472656,24.2,1.01,10,4
2021-10-14,63.380001068115234,63.222999572753906,63.6879997253418,62.67900085449219,26.72,1.01,10,4
2021-10-15,62.82899856567383,63.79999923706055,63.94200134277344,62.51599884033203,41.17,1.43,10,4
2021-10-18,63.797000885009766,63.209999084472656,63.840999603271484,62.058998107910156,46.69,1.78,10,4
2021-10-19,63.900001525878906,63.696998596191406,64.0999984741211,63.22999954223633,76.33,0.87,10,4
2021-10-20,62.513999938964844,62.55699920654297,63.7400016784668,61.71500015258789,106.22,2.03,10,4
2021-10-21,65.31600189208984,62.888999938964844,65.4010009765625,62.8650016784668,84.37,2.54,10,4
2021-10-22,66.47799682617188,65.18099975585938,66.5459976196289,65.18099975585938,61.86,1.36,10,4
2021-10-25,67.16600036621094,66.3740005493164,67.58799743652344,65.70700073242188,38.34,1.88,10,4
2021-10-26,66.85199737548828,67.3759994506836,67.64900207519531,66.2770004272461,29.05,1.37,10,4
2021-10-27,66.29199981689453,66.9000015258789,67.14099884033203,66.18499755859375,22.77,0.96,10,4
2021-10-28,67.40499877929688,67.09500122070312,67.68000030517578,66.8030014038086,28.59,0.88,10,4
2021-10-29,69.03099822998047,67.30599975585938,69.09700012207031,67.1240005493164,38.25,1.97,10,4
2021-11-01,68.11699676513672,68.90599822998047,68.99700164794922,67.65399932861328,31.11,1.34,11,4
2021-11-02,67.77200317382812,68.31099700927734,68.76799774169922,67.38200378417969,38.89,1.39,11,4
2021-11-03,68.8290023803711,67.72699737548828,68.93900299072266,67.72699737548828,23.35,1.21,11,4
2021-11-04,66.83999633789062,68.58899688720703,68.59400177001953,66.55000305175781,48.65,2.04,11,4
2021-11-05,64.5719985961914,66.39700317382812,66.56400299072266,64.5009994506836,52.84,2.06,11,4
2021-11-08,65.1449966430664,65.02899932861328,65.5999984741211,64.37899780273438,28.88,1.22,11,4
2021-11-09,65.5989990234375,65.37000274658203,66.05000305175781,65.052001953125,24.16,1.0,11,4
2021-11-10,64.69100189208984,65.3010025024414,66.03299713134766,64.21099853515625,24.06,1.82,11,4
2021-11-11,65.75800323486328,65.02400207519531,66.58200073242188,64.97100067138672,28.68,1.61,11,4
2021-11-12,68.26100158691406,66.0009994506836,68.33399963378906,65.38200378417969,41.98,2.95,11,4
2021-11-15,67.93299865722656,68.1240005493164,68.5260009765625,67.14900207519531,28.72,1.38,11,4
2021-11-16,68.73999786376953,67.8270034790039,68.83599853515625,67.69000244140625,20.77,1.15,11,4
2021-11-17,69.16899871826172,69.0,70.0989990234375,68.60900115966797,27.33,1.49,11,4
2021-11-18,68.2020034790039,69.16100311279297,69.17400360107422,67.9739990234375,20.13,1.2,11,4
2021-11-19,67.87999725341797,69.23500061035156,69.41600036621094,67.5,26.14,1.92,11,4
2021-11-22,65.91999816894531,67.60199737548828,67.947998046875,65.64700317382812,27.64,2.3,11,4
2021-11-23,65.40599822998047,65.81800079345703,66.64299774169922,64.6050033569336,23.2,2.04,11,4
2021-11-24,65.8290023803711,65.8010025024414,66.14399719238281,65.11000061035156,18.67,1.03,11,4
2021-11-26,66.56400299072266,67.5,67.64099884033203,66.06700134277344,28.72,1.57,11,4
2021-11-29,66.38400268554688,66.31999969482422,66.79900360107422,65.8290023803711,25.29,0.97,11,4
2021-11-30,64.19000244140625,66.81999969482422,67.53800201416016,64.0009994506836,56.09,3.54,11,4
2021-12-01,61.777000427246094,64.947998046875,65.4520034790039,61.707000732421875,38.83,3.75,12,4
2021-12-02,61.64699935913086,61.709999084472656,62.5359992980957,61.28799819946289,33.31,1.25,12,4
2021-12-03,60.2130012512207,62.275001525878906,62.54999923706055,59.400001525878906,48.29,3.15,12,4
2021-12-06,61.26900100708008,60.60100173950195,61.729000091552734,60.099998474121094,30.76,1.63,12,4
2021-12-07,62.55799865722656,61.983001708984375,62.888999938964844,61.13999938964844,31.25,1.75,12,4
2021-12-08,62.80799865722656,63.0,63.24599838256836,62.31999969482422,22.2,0.93,12,4
2021-12-09,61.099998474121094,62.757999420166016,63.02399826049805,61.04399871826172,23.76,1.98,12,4
2021-12-10,61.16600036621094,61.678001403808594,61.77399826049805,60.5880012512207,27.49,1.19,12,4
2021-12-13,60.45600128173828,61.20000076293945,61.263999938964844,59.95199966430664,25.18,1.31,12,4
2021-12-14,59.79899978637695,59.87099838256836,60.229000091552734,58.8129997253418,29.84,1.42,12,4
2021-12-15,60.50400161743164,59.81800079345703,60.569000244140625,58.45100021362305,28.66,2.12,12,4
2021-12-16,59.10599899291992,59.70899963378906,60.28300094604492,58.79999923706055,31.43,1.48,12,4
